0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1室0厅1厨1卫        ,高楼层(共6层)          ,32.39㎡          ,暂无数据              ,暂无数据         ,板楼       ,南   ,1991,精装     ,砖混结构  , ,一梯三户           ,无           ,1.07104E+11,商品房          ,3/13/2021,普通住宅          ,暂无数据       ,共有           ,196万,60513,2021.05.26 成交,延吉东路137弄 1室0厅 32.39平米,198挂牌价格（万）,75成交周期（天）,3调价（次）,带看（次）,122关注（人）,14119浏览（次）
4室2厅1厨2卫        ,高楼层(共7层)          ,109.58㎡          ,复式              ,暂无数据         ,板楼       ,南 北   ,1998,精装     ,钢混结构  , ,一梯三户           ,无           ,1.07104E+11,商品房          ,4/28/2021,普通住宅          ,暂无数据       ,共有           ,570万,52017,2021.05.26 成交,丽景新苑 4室2厅 109.58平米,580挂牌价格（万）,29成交周期（天）,1调价（次）,带看（次）,49关注（人）,5995浏览（次）
1室1厅1厨1卫        ,高楼层(共7层)          ,29.18㎡          ,平层              ,29.18㎡         ,板楼       ,北   ,1996,简装     ,钢混结构  , ,一梯六户           ,无           ,1.07104E+11,商品房          ,2/21/2021,普通住宅          ,暂无数据       ,非共有           ,240万,82249,2021.05.26 成交,安西小区 1室1厅 29.18平米,250挂牌价格（万）,95成交周期（天）,4调价（次）,带看（次）,65关注（人）,7540浏览（次）
4室2厅1厨3卫        ,中楼层(共4层)          ,153㎡          ,复式              ,暂无数据         ,板楼       ,南   ,未知 ,精装     ,钢混结构  , ,一梯两户           ,无           ,1.07104E+11,商品房          ,1/15/2021,普通住宅          ,暂无数据       ,共有           ,950万,62092,2021.05.26 成交,华府天地愉园 4室2厅 153平米,988挂牌价格（万）,132成交周期（天）,4调价（次）,带看（次）,59关注（人）,14414浏览（次）
2室1厅1厨1卫        ,中楼层(共6层)          ,83.11㎡          ,暂无数据              ,暂无数据         ,板楼       ,南   ,2006,简装     ,钢混结构  , ,一梯两户           ,无           ,1.07104E+11,商品房          ,5/12/2021,普通住宅          ,暂无数据       ,共有           ,349万,41993,2021.05.26 成交,金盛佳苑 2室1厅 83.11平米,353挂牌价格（万）,15成交周期（天）,0调价（次）,带看（次）,0关注（人）,16浏览（次）
2室1厅1厨1卫        ,中楼层(共5层)          ,57.2㎡          ,平层              ,暂无数据         ,板楼       ,南   ,1989,精装     ,砖混结构  , ,一梯两户           ,无           ,1.07104E+11,商品房          ,5/23/2021,普通住宅          ,暂无数据       ,非共有           ,163万,28497,2021.05.26 成交,听潮二村 2室1厅 57.2平米,165挂牌价格（万）,4成交周期（天）,1调价（次）,带看（次）,2关注（人）,409浏览（次）
2室0厅1厨1卫        ,低楼层(共6层)          ,49.9㎡          ,平层              ,暂无数据         ,板楼       ,南 北 东   ,1987,精装     ,砖混结构  , ,一梯四户           ,无           ,1.07104E+11,商品房          ,2/2/2021,普通住宅          ,暂无数据       ,非共有           ,360万,72145,2021.05.26 成交,虹纺小区 2室0厅 49.9平米,365挂牌价格（万）,114成交周期（天）,7调价（次）,带看（次）,140关注（人）,29757浏览（次）
2室2厅1厨1卫        ,中楼层(共5层)          ,77.47㎡          ,错层              ,暂无数据         ,板楼       ,南 北   ,2003,精装     ,钢混结构  , ,一梯两户           ,无           ,1.07104E+11,商品房          ,3/8/2021,普通住宅          ,暂无数据       ,共有           ,420万,54215,2021.05.26 成交,奥林匹克花园 2室2厅 77.47平米,425挂牌价格（万）,80成交周期（天）,4调价（次）,带看（次）,28关注（人）,2298浏览（次）
1室0厅1厨1卫        ,低楼层(共6层)          ,30.76㎡          ,平层              ,暂无数据         ,板楼       ,南   ,1979,毛坯     ,砖混结构  , ,一梯四户           ,无           ,1.07103E+11,商品房          ,10/31/2020,普通住宅          ,暂无数据       ,共有           ,253万,82088,2021.05.26 成交,欧五小区 1室0厅 30.76平米,255挂牌价格（万）,208成交周期（天）,4调价（次）,带看（次）,25关注（人）,8977浏览（次）
2室1厅1厨1卫        ,高楼层(共6层)          ,55.1㎡          ,平层              ,暂无数据         ,板楼       ,南   ,1998,精装     ,砖混结构  , ,一梯两户           ,无           ,1.07104E+11,商品房          ,5/21/2021,普通住宅          ,暂无数据       ,非共有           ,336万,60981,2021.05.26 成交,广顺小区 2室1厅 55.1平米,335挂牌价格（万）,6成交周期（天）,0调价（次）,带看（次）,25关注（人）,1767浏览（次）
