Rooms,Floor,Area,HouseStructure,BuildingType,HouseOrientation,ConstructionTime,RenovationCondition,BuildingStructure,LadderRatio,Elevator,挂牌时间,TotalPrice,UnitPrice,TradeTime,DOM,Followers,HouseName1,Bedroom,Livingroom,Kitchen,Bathroom,HouseStructure_cat,BuildingType_cat,HouseOrientation_cat,RenovationCondition_cat,BuildingStructure_cat,Elevator_cat,Floor_cat
4室2厅1厨3卫        ,低,195,复式              ,板楼       ,南   ,2015-01-01,毛坯     ,钢混结构  ,一梯两户           ,有           ,2021-02-27,1060,54107,2021-05-26,89,39,当代万国府MOMA,4,2,1,3,0,3,18,1,3,1,1
2室1厅1厨1卫        ,高,64,,板楼       ,东 东南   ,1995-01-01,毛坯     ,砖混结构  ,一梯四户           ,无           ,2021-05-23,309,47952,2021-05-26,4,3,丰庄一村,2,1,1,1,-1,3,1,1,2,0,3
2室2厅1厨1卫        ,低,94,平层              ,板楼       ,南 北   ,2007-01-01,简装     ,钢混结构  ,一梯两户           ,无           ,2021-05-01,209,22138,2021-05-26,26,26,欣梅苑,2,2,1,1,1,3,23,2,3,0,1
3室2厅1厨2卫        ,中,131,平层              ,板塔结合       ,南   ,1995-01-01,精装     ,钢混结构  ,一梯四户           ,有           ,2021-05-20,1046,79775,2021-05-26,7,19,爱都公寓,3,2,1,2,1,2,18,3,3,1,0
2室1厅1厨1卫        ,低,59,平层              ,板楼       ,南   ,1995-01-01,精装     ,砖混结构  ,一梯三户           ,无           ,2021-04-21,338,56588,2021-05-26,36,30,西湖苑,2,1,1,1,1,3,18,3,2,0,1
3室2厅1厨1卫        ,高,93,平层              ,板楼       ,南   ,2015-01-01,精装     ,钢混结构  ,一梯两户           ,有           ,2021-04-06,510,54354,2021-05-05,30,35,金地自在城(二期),3,2,1,1,1,3,18,3,3,1,3
3室1厅1厨1卫        ,低,72,平层              ,板楼       ,南 北   ,1986-01-01,简装     ,砖混结构  ,一梯四户           ,无           ,2021-04-03,310,42554,2021-05-05,33,27,新闵小区,3,1,1,1,1,3,23,2,2,0,1
2室1厅1厨1卫        ,中,52,平层              ,板楼       ,南   ,1986-01-01,简装     ,砖混结构  ,一梯三户           ,无           ,2020-08-26,120,22866,2021-05-05,253,48,解放新村,2,1,1,1,1,3,18,2,2,0,0
3室2厅1厨2卫        ,高,115,平层              ,板楼       ,南   ,1998-01-01,简装     ,砖混结构  ,一梯两户           ,无           ,2021-03-06,750,65173,2021-05-05,61,32,海东公寓,3,2,1,2,1,3,18,2,2,0,3
2室1厅1厨1卫        ,高,69,平层              ,板楼       ,南   ,2014-01-01,毛坯     ,钢混结构  ,两梯四户           ,有           ,2021-05-01,218,31201,2021-05-05,5,9,崧泽华城和瑞西苑,2,1,1,1,1,3,18,1,3,1,3
